#OTU ID,Taxonomy,EAT01,EAT02,EAT03,EAT04,EAT05,EAT07,EAT09,EAT10,EAT11,EAT12,EAT13,EAT14,EAT15,EAT16,EAT17,EAT18,EAT19,EAT20,EAT21,EAT22,EAT23,EAT24,EAT25,EAT26,EAT27,EAT28,EAT29,EAT30,EAT31,EAT32,EAT33,EAT34,EAT35,EAT36,EAT38,EAT39,EAT40,EAT41,EAT42,EAT43,EAT44,EAT45,EAT46,EAT47,EAT48,EAT49,EAT50,EAT51,EAT52,EAT53,EAT55,EAT56
Otu42,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Corynebacteriaceae;D_5__uncultured;D_6__uncultured bacterium,0,182,0,0,19,2,42,50,10,626,30,1081,3,1,0,14,311,63,19,26,4,0,5,4,105,128,28,15,128,57,1,506,105,2,75,90,0,0,0,0,0,0,2,2,0,18,10,0,284,878,8,0
Otu43,D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Comamonadaceae,8,72,34,0,32,3438,1,0,12,31,79,1,7,0,0,19,275,1,27,13,1,1,6,1,1,0,0,8,3,20,4,14,17,3,48,9,19,0,0,7,9,0,0,0,0,2,0,0,0,0,4,0
Otu44,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Micrococcus;D_6__Micrococcus luteus,86,59,14,39,75,64,11,316,15,33,18,389,0,2,14,0,10,29,8,37,3,0,14,10,91,420,47,1,39,157,368,62,101,50,1,61,0,1,3,8,556,18,0,0,3,0,1,1,1,169,0,303
Otu45,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Halobacteriovorax;Ambiguous_taxa,130,2,1,1,1,0,6,115,66,131,0,0,111,9,22,0,118,62,83,9,7,34,22,18,120,247,161,66,0,22,2,0,0,21,209,2,3,1,0,0,0,17,8,5,5,82,65,33,220,173,184,124
Otu450,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,301,54,0,50,0,1,24,0,0,0,0,1,0,0,0,0,0,0,53,41,350,466,5,22,1,0,4,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu46,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Rickettsiales Incertae Sedis;D_5__Candidatus Captivus;Ambiguous_taxa,0,0,0,0,0,0,0,0,0,0,0,0,1265,86,7,0,0,0,0,0,0,1,0,0,0,0,12,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,6,1,1357,209,42
Otu47,Unassigned,648,1044,94,77,5,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu48,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Shimia,16,0,3,0,0,0,46,12,1,0,80,87,14,0,7,2,17,53,380,417,100,131,93,181,22,14,3,0,1,3,6,0,0,9,25,0,1,0,1,1,19,42,58,24,8,164,238,53,95,217,94,35
Otu49,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ruegeria;Ambiguous_taxa,1,15,34,37,1,0,57,0,0,6,0,49,440,33,168,175,92,227,331,236,281,319,53,137,28,15,15,0,5,14,4,29,23,39,38,118,148,26,26,126,51,45,82,41,22,282,414,67,136,1241,118,80
Otu5,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Oceanospirillaceae;D_5__Marinobacterium,11,1,8,8,0,0,36,28,46,24,197,183,36665,2659,4770,4105,18,26,55,24,37,40,29,41,6,15,145,104,43,23,15,28,0,27,26,68,59,78,638,320,422,38,16,51,26,44,61,264,457,195,236,326
Otu51,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,1049,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Otu52,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae;D_5__uncultured;D_6__uncultured Pseudoalteromonadaceae bacterium,1,37,0,0,18,0,0,0,1,0,0,13,2193,100,5,7,2,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,9,0,107,1,0
Otu54,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Tyzzerella,0,0,0,0,0,0,0,0,0,0,12,114,1,4,0,50,0,19,1,0,1,5,12,76,251,506,29,41,95,148,9,1345,85,4,0,0,5,0,0,0,2,0,5,1,0,1,0,0,0,0,0,0
Otu55,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus,0,0,40,153,49,0,37,2,1,174,121,182,20,11,1,0,86,1,17,0,7,16,16,26,92,305,29,2,142,6,325,651,17,37,0,140,3,0,0,19,0,0,6,0,2,0,1,0,0,261,6,10
Otu56,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter,168,643,188,107,44,8,75,118,73,168,311,598,49,13,92,105,318,13,66,210,3,1,16,0,2,116,16,5,4,17,105,74,84,37,1,47,1,1,14,1,88,2,0,0,0,2,0,5,111,415,105,44
Otu58,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1097,1278,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu59,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Kordiimonadales;D_4__Kordiimonadaceae;D_5__Kordiimonas;D_6__uncultured bacterium,0,0,0,0,0,0,0,0,0,12,0,0,798,49,320,429,19,27,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,5,0,17,0,25,100,99,82,1,1,0,2,2,5,3,0,1,1,17
Otu597,Unassigned,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu6,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Alcanivoracaceae;D_5__Alcanivorax;Ambiguous_taxa,4,90,5,0,0,66,189,159,1110,804,145,44,33,1,0,0,55,1,22,62,581,413,1868,2488,86,11,15,29,159,33,378,8,46,459,24,139,1,1,0,1,0,120,105,488,238,2769,5231,279,422,537,411,335
Otu60,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales;D_4__Coxiellaceae;D_5__Coxiella;D_6__uncultured bacterium,45,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1693,0,0
Otu605,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__MSB-3A7 sediment group;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Otu62,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae;D_5__Pseudoalteromonas;Ambiguous_taxa,5,44,75,48,3,0,291,103,53,71,340,195,70,7,61,61,3,6,27,13,21,20,6,4,0,1,7,11,23,7,8,0,0,57,217,1,5,1,1,10,3,23,10,2,4,76,95,38,21,5,196,122
