#OTU ID,EAT01,EAT02,EAT03,EAT04,EAT05,EAT07,EAT09,EAT10,EAT11,EAT12,EAT13,EAT14,EAT15,EAT16,EAT17,EAT18,EAT19,EAT20,EAT21,EAT22,EAT23,EAT24,EAT25,EAT26,EAT27,EAT28,EAT29,EAT30,EAT31,EAT32,EAT33,EAT34,EAT35,EAT36,EAT38,EAT39,EAT40,EAT41,EAT42,EAT43,EAT44,EAT45,EAT46,EAT47,EAT48,EAT49,EAT50,EAT51,EAT52,EAT53,EAT55,EAT56
Otu60,45,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1693,0,0
Otu4536,20,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu263,120,0,40,147,5,1,8,0,0,0,55,2,166,12,81,17,36,28,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,10,0,0,0,1,0
Otu91,98,422,71,128,93,31,101,93,60,3,126,2,27,0,101,0,26,54,58,0,2,0,0,3,434,2,4,0,1,0,0,556,0,0,1,254,128,11,0,1,0,0,4,0,0,0,7,416,1,452,4,205
Otu2063,14,7,0,0,0,0,0,0,1,6,0,0,11,0,0,0,1,0,0,0,0,0,2,3,0,0,0,3,1,0,0,0,0,1,1,0,0,0,1,0,13,0,0,0,0,1,1,0,0,2,5,3
Otu803,114,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu369,344,3,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu134,194,305,39,44,202,164,84,295,12,104,0,338,0,24,74,80,42,34,40,129,2,6,17,3,50,220,16,10,0,47,38,500,5,0,73,292,71,5,0,3,83,8,2,1,4,0,8,53,214,10,0,88
Otu311,112,4,102,144,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Otu87,175,434,308,342,120,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
